Date,Num_dev,Num_Val,%val
01/11/2022,4580,3,0.001
02/11/2022,6615,264,0.040
03/11/2022,12213,450,0.037
04/11/2022,24690,64,0.003
05/11/2022,19811,294,0.015
06/11/2022,11820,252,0.021
07/11/2022,16756,182,0.011
08/11/2022,19590,0,0.000
09/11/2022,22278,107,0.005
10/11/2022,20106,0,0.000
11/11/2022,24391,8,0.000
12/11/2022,32837,77,0.002
13/11/2022,24253,308,0.013
14/11/2022,30310,109,0.004
15/11/2022,36976,2,0.000
16/11/2022,27160,14,0.001
17/11/2022,21331,136,0.006
18/11/2022,39273,0,0.000
19/11/2022,33756,81,0.002
20/11/2022,31347,18,0.001
21/11/2022,331,0,0.000
22/11/2022,0,0,0.000
23/11/2022,18126,111,0.006
24/11/2022,12118,0,0.000
25/11/2022,33702,1,0.000
26/11/2022,32345,217,0.007
27/11/2022,29600,40,0.001
28/11/2022,27439,176,0.006
29/11/2022,25787,180,0.007
30/11/2022,28816,77,0.003
